,symbol,sector
979,SYY,Distribution Services
980,T,Communications
981,TAK,Health Technology
982,TAL,Commercial Services
983,TAP,Consumer Non-Durables
984,TBA,Finance
985,TCOM,Consumer Services
986,TD,Finance
987,TDOC,Health Services
988,TEAM,Technology Services
989,TECK,Non-Energy Minerals
990,TEF,Communications
991,TEL,Electronic Technology
992,TELL,Energy Minerals
993,TEN,Producer Manufacturing
994,TER,Electronic Technology
995,TEVA,Health Technology
996,TFC,Finance
997,TGB,Non-Energy Minerals
998,TGNA,Consumer Services
999,TGT,Retail Trade
1000,TGTX,Health Technology
1001,TIGR,Finance
1002,TJX,Retail Trade
1003,TKAT,Technology Services
1004,TLRY,Process Industries
1005,TMDI,Health Technology
1006,TME,Technology Services
1007,TMHC,Consumer Durables
1008,TMO,Health Technology
1009,TMUS,Communications
1010,TNXP,Health Technology
1011,TOL,Consumer Durables
1012,TOT,Energy Minerals
1013,TPH,Consumer Durables
1014,TPR,Retail Trade
1015,TPX,Consumer Durables
1016,TRCH,Consumer Services
1017,TRGP,Energy Minerals
1018,TRIP,Consumer Services
1019,TRMB,Electronic Technology
1020,TROW,Finance
1021,TROX,Process Industries
1022,TRP,Industrial Services
1023,TRU,Technology Services
1024,TRUE,Technology Services
1025,TRV,Finance
1026,TRVG,Technology Services
1027,TRVN,Health Technology
1028,TS,Non-Energy Minerals
1029,TSCO,Retail Trade
1030,TSLA,Consumer Durables
1031,TSM,Electronic Technology
1032,TSN,Consumer Non-Durables
1033,TT,Producer Manufacturing
1034,TTCF,Consumer Non-Durables
1035,TTI,Industrial Services
1036,TTM,Consumer Durables
1037,TTOO,Health Technology
1038,TTWO,Consumer Durables
1039,TU,Communications
1040,TV,Consumer Services
1041,TWLO,Technology Services
1042,TWNK,Consumer Non-Durables
1043,TWTR,Technology Services
1044,TXMD,Health Technology
1045,TXN,Electronic Technology
1046,TXT,Electronic Technology
1047,TYME,Health Technology
1048,U,Technology Services
1049,UA,Consumer Non-Durables
1050,UAA,Consumer Non-Durables
1051,UAL,Transportation
1052,UAVS,Electronic Technology
1053,UBER,Technology Services
1054,UBS,Finance
1055,UEC,Non-Energy Minerals
1056,UFS,Process Industries
1057,UGI,Utilities
1058,UGP,Energy Minerals
